estrato;arv;idespecie;dap1;dap2;cat
1;1;32;6,53;7;S
1;2;82;10,89;11,62;S
1;3;134;9,49;11,9;S
1;4;16;15,66;16,07;S
1;5;36;10,22;10,66;S
1;6;32;42,53;0;M
1;7;134;38,52;38,83;S
1;8;66;14,96;15,76;S
1;9;53;35,97;36,45;S
1;10;61;11,05;12,1;S
1;11;125;13,78;14,16;S
1;12;5;8,44;9,07;S
1;13;127;9,87;10,35;S
1;14;21;7,16;7,48;S
1;15;17;7,16;0;M
1;16;82;25,31;29,44;S
1;17;164;10,98;11,14;S
1;18;32;11,46;12,1;S
1;19;158;22,92;0;M
1;20;127;14,8;16,39;S
1;21;5;10,5;10,66;S
1;22;104;7,64;7,64;S
1;23;170;17,19;22,44;S
1;24;21;7,16;7,96;S
1;25;13;7;7,73;S
1;26;170;6,59;8,59;S
1;27;36;30,53;33,55;S
1;28;21;6,68;7;S
1;29;5;5,73;7;S
1;30;170;8,59;10,98;S
1;31;170;10,82;12,89;S
1;32;145;5,41;0;M
1;33;17;6,05;6,84;S
1;34;170;7,48;11,14;S
1;35;17;5,57;6,68;S
1;36;170;7,64;0;M
1;37;17;5,57;0;M
1;38;62;0;5,09;R
1;39;5;0;5,47;R
1;40;62;0;5,25;R
1;41;90;0;6,68;R
1;42;21;0;5,41;R
1;43;158;19,42;20,21;S
1;44;112;22,28;24,51;S
1;45;38;5,73;5,73;S
1;46;32;6,68;6,84;S
1;47;170;28,01;31,83;S
1;48;16;10,82;13,05;S
1;49;158;16,55;17,67;S
1;50;32;13,69;13,85;S
1;51;163;7,96;7,96;S
1;52;57;9,23;9,23;S
1;53;163;11,14;11,3;S
1;54;5;5,25;5,41;S
1;55;138;8,59;8,59;S
1;56;36;18,78;21,96;S
1;57;21;7;7;S
1;58;134;14,01;16,23;S
1;59;66;9,39;11,62;S
1;60;17;21,01;0;M
1;61;158;7,16;8,28;S
1;62;66;11,78;11,78;S
1;63;163;9,07;9,07;S
1;64;127;8,91;0;M
1;65;158;16,87;19,42;S
1;66;158;14,01;14,64;S
1;67;32;18,46;18,78;S
1;68;17;6,68;0;M
1;69;158;8,59;9,87;S
1;70;32;6,53;6,53;S
1;71;21;6,05;6,05;S
